Ball,Ball_No,Striker,Non_striker,Bowler,Runs_by_batsman,Total_runs,Strike_Rate,Extras,Wides,No_balls,Byes,Leg_byes
1,0.3,SR Tendulkar,V Sehwag,DW Steyn,0,0,0,0,,,,
2,0.4,SR Tendulkar,V Sehwag,DW Steyn,0,0,0,0,,,,
3,0.5,SR Tendulkar,V Sehwag,DW Steyn,0,0,0,0,,,,
4,0.6,SR Tendulkar,V Sehwag,DW Steyn,0,0,0,0,,,,
5,1.3,SR Tendulkar,V Sehwag,WD Parnell,4,4,80,0,,,,
6,1.4,SR Tendulkar,V Sehwag,WD Parnell,4,8,133.3333333,0,,,,
7,1.5,SR Tendulkar,V Sehwag,WD Parnell,0,8,114.2857143,0,,,,
8,1.6,SR Tendulkar,V Sehwag,WD Parnell,2,10,125,0,,,,
9,2.2,SR Tendulkar,V Sehwag,DW Steyn,1,11,122.2222222,0,,,,
10,2.6,SR Tendulkar,V Sehwag,DW Steyn,4,15,150,0,,,,
11,3.3,SR Tendulkar,V Sehwag,WD Parnell,0,15,136.3636364,0,,,,
12,3.4,SR Tendulkar,V Sehwag,WD Parnell,1,16,133.3333333,0,,,,
13,4.1,SR Tendulkar,KD Karthik,DW Steyn,0,16,123.0769231,0,,,,
14,4.2,SR Tendulkar,KD Karthik,DW Steyn,0,16,114.2857143,0,,,,
15,4.3,SR Tendulkar,KD Karthik,DW Steyn,4,20,133.3333333,0,,,,
16,4.4,SR Tendulkar,KD Karthik,DW Steyn,0,20,125,0,,,,
17,4.5,SR Tendulkar,KD Karthik,DW Steyn,2,22,129.4117647,0,,,,
18,4.6,SR Tendulkar,KD Karthik,DW Steyn,0,22,122.2222222,0,,,,
19,6.1,SR Tendulkar,KD Karthik,DW Steyn,0,22,115.7894737,0,,,,
20,6.2,SR Tendulkar,KD Karthik,DW Steyn,4,26,130,0,,,,
21,6.3,SR Tendulkar,KD Karthik,DW Steyn,0,26,123.8095238,0,,,,
22,6.4,SR Tendulkar,KD Karthik,DW Steyn,0,26,118.1818182,0,,,,
23,6.5,SR Tendulkar,KD Karthik,DW Steyn,1,27,117.3913043,0,,,,
24,7.1,SR Tendulkar,KD Karthik,WD Parnell,2,29,120.8333333,0,,,,
25,7.2,SR Tendulkar,KD Karthik,WD Parnell,4,33,132,0,,,,
26,7.3,SR Tendulkar,KD Karthik,WD Parnell,2,35,134.6153846,0,,,,
27,7.4,SR Tendulkar,KD Karthik,WD Parnell,1,36,133.3333333,0,,,,
28,8.6,SR Tendulkar,KD Karthik,DW Steyn,1,37,132.1428571,0,,,,
29,9.1,SR Tendulkar,KD Karthik,WD Parnell,4,41,141.3793103,0,,,,
30,9.2,SR Tendulkar,KD Karthik,WD Parnell,1,42,140,0,,,,
31,9.5,SR Tendulkar,KD Karthik,WD Parnell,0,42,135.483871,0,,,,
32,9.6,SR Tendulkar,KD Karthik,WD Parnell,4,46,143.75,0,,,,
33,10.5,SR Tendulkar,KD Karthik,DW Steyn,1,47,142.4242424,0,,,,
34,11.1,SR Tendulkar,KD Karthik,RE van der Merwe,0,47,138.2352941,0,,,,
35,11.2,SR Tendulkar,KD Karthik,RE van der Merwe,0,47,134.2857143,0,,,,
36,11.3,SR Tendulkar,KD Karthik,RE van der Merwe,0,47,130.5555556,0,,,,
37,11.4,SR Tendulkar,KD Karthik,RE van der Merwe,4,51,137.8378378,0,,,,
38,11.5,SR Tendulkar,KD Karthik,RE van der Merwe,1,52,136.8421053,0,,,,
