Inn,Ball,Ball_no,Striker,Non_striker,Bowler,Runs_by_batsman,Extras,Wides,No_balls,Byes,Leg_byes,Penalty,Kind_of_wicket,Dismissed_player
1,1,0.1,"V Sehwag","SR Tendulkar","DW Steyn",0,0,,,,,,,
1,2,0.2,"V Sehwag","SR Tendulkar","DW Steyn",1,0,,,,,,,
1,3,0.3,"SR Tendulkar","V Sehwag","DW Steyn",0,0,,,,,,,
1,4,0.4,"SR Tendulkar","V Sehwag","DW Steyn",0,0,,,,,,,
1,5,0.5,"SR Tendulkar","V Sehwag","DW Steyn",0,0,,,,,,,
1,6,0.6,"SR Tendulkar","V Sehwag","DW Steyn",0,0,,,,,,,
1,7,1.1,"V Sehwag","SR Tendulkar","WD Parnell",0,0,,,,,,,
1,8,1.2,"V Sehwag","SR Tendulkar","WD Parnell",1,0,,,,,,,
1,9,1.3,"SR Tendulkar","V Sehwag","WD Parnell",4,0,,,,,,,
1,10,1.4,"SR Tendulkar","V Sehwag","WD Parnell",4,0,,,,,,,
1,11,1.5,"SR Tendulkar","V Sehwag","WD Parnell",0,0,,,,,,,
1,12,1.6,"SR Tendulkar","V Sehwag","WD Parnell",2,0,,,,,,,
1,13,2.1,"V Sehwag","SR Tendulkar","DW Steyn",1,0,,,,,,,
1,14,2.2,"SR Tendulkar","V Sehwag","DW Steyn",1,0,,,,,,,
1,15,2.3,"V Sehwag","SR Tendulkar","DW Steyn",4,0,,,,,,,
1,16,2.4,"V Sehwag","SR Tendulkar","DW Steyn",0,0,,,,,,,
1,17,2.5,"V Sehwag","SR Tendulkar","DW Steyn",1,0,,,,,,,
1,18,2.6,"SR Tendulkar","V Sehwag","DW Steyn",4,0,,,,,,,
1,19,3.1,"V Sehwag","SR Tendulkar","WD Parnell",0,0,,,,,,,
1,20,3.2,"V Sehwag","SR Tendulkar","WD Parnell",1,0,,,,,,,
1,21,3.3,"SR Tendulkar","V Sehwag","WD Parnell",0,0,,,,,,,
1,22,3.4,"SR Tendulkar","V Sehwag","WD Parnell",1,0,,,,,,,
1,23,3.5,"V Sehwag","SR Tendulkar","WD Parnell",0,0,,,,,,caught,"V Sehwag"
1,24,3.6,"KD Karthik","SR Tendulkar","WD Parnell",0,0,,,,,,,
1,25,4.1,"SR Tendulkar","KD Karthik","DW Steyn",0,0,,,,,,,
1,26,4.2,"SR Tendulkar","KD Karthik","DW Steyn",0,0,,,,,,,
1,27,4.3,"SR Tendulkar","KD Karthik","DW Steyn",4,0,,,,,,,
