Inn,Ball,Team_Name,Striker,Non_striker,Bowler,Runs_by_batsman,Extras,Wides,No_balls,Byes,Leg_byes,Penalty,Kind_of_wicket,Dismissed_player
1,0.3,India,SR Tendulkar,V Sehwag,DW Steyn,0,0,,,,,,,
1,0.4,India,SR Tendulkar,V Sehwag,DW Steyn,0,0,,,,,,,
1,0.5,India,SR Tendulkar,V Sehwag,DW Steyn,0,0,,,,,,,
1,0.6,India,SR Tendulkar,V Sehwag,DW Steyn,0,0,,,,,,,
1,1.3,India,SR Tendulkar,V Sehwag,WD Parnell,4,0,,,,,,,
1,1.4,India,SR Tendulkar,V Sehwag,WD Parnell,4,0,,,,,,,
1,1.5,India,SR Tendulkar,V Sehwag,WD Parnell,0,0,,,,,,,
1,1.6,India,SR Tendulkar,V Sehwag,WD Parnell,2,0,,,,,,,
1,2.2,India,SR Tendulkar,V Sehwag,DW Steyn,1,0,,,,,,,
1,2.6,India,SR Tendulkar,V Sehwag,DW Steyn,4,0,,,,,,,
1,3.3,India,SR Tendulkar,V Sehwag,WD Parnell,0,0,,,,,,,
1,3.4,India,SR Tendulkar,V Sehwag,WD Parnell,1,0,,,,,,,
1,4.1,India,SR Tendulkar,KD Karthik,DW Steyn,0,0,,,,,,,
1,4.2,India,SR Tendulkar,KD Karthik,DW Steyn,0,0,,,,,,,
1,4.3,India,SR Tendulkar,KD Karthik,DW Steyn,4,0,,,,,,,
1,4.4,India,SR Tendulkar,KD Karthik,DW Steyn,0,0,,,,,,,
1,4.5,India,SR Tendulkar,KD Karthik,DW Steyn,2,0,,,,,,,
1,4.6,India,SR Tendulkar,KD Karthik,DW Steyn,0,0,,,,,,,
1,6.1,India,SR Tendulkar,KD Karthik,DW Steyn,0,0,,,,,,,
1,6.2,India,SR Tendulkar,KD Karthik,DW Steyn,4,0,,,,,,,
1,6.3,India,SR Tendulkar,KD Karthik,DW Steyn,0,0,,,,,,,
1,6.4,India,SR Tendulkar,KD Karthik,DW Steyn,0,0,,,,,,,
1,6.5,India,SR Tendulkar,KD Karthik,DW Steyn,1,0,,,,,,,
1,7.1,India,SR Tendulkar,KD Karthik,WD Parnell,2,0,,,,,,,
1,7.2,India,SR Tendulkar,KD Karthik,WD Parnell,4,0,,,,,,,
1,7.3,India,SR Tendulkar,KD Karthik,WD Parnell,2,0,,,,,,,
1,7.4,India,SR Tendulkar,KD Karthik,WD Parnell,1,0,,,,,,,
1,8.6,India,SR Tendulkar,KD Karthik,DW Steyn,1,0,,,,,,,
1,9.1,India,SR Tendulkar,KD Karthik,WD Parnell,4,0,,,,,,,
1,9.2,India,SR Tendulkar,KD Karthik,WD Parnell,1,0,,,,,,,
1,9.5,India,SR Tendulkar,KD Karthik,WD Parnell,0,0,,,,,,,
1,9.6,India,SR Tendulkar,KD Karthik,WD Parnell,4,0,,,,,,,
1,10.5,India,SR Tendulkar,KD Karthik,DW Steyn,1,0,,,,,,,
1,11.1,India,SR Tendulkar,KD Karthik,RE van der Merwe,0,0,,,,,,,
1,11.2,India,SR Tendulkar,KD Karthik,RE van der Merwe,0,0,,,,,,,
1,11.3,India,SR Tendulkar,KD Karthik,RE van der Merwe,0,0,,,,,,,
1,11.4,India,SR Tendulkar,KD Karthik,RE van der Merwe,4,0,,,,,,,
1,11.5,India,SR Tendulkar,KD Karthik,RE van der Merwe,1,0,,,,,,,
1,12.3,India,SR Tendulkar,KD Karthik,CK Langeveldt,0,0,,,,,,,
1,12.4,India,SR Tendulkar,KD Karthik,CK Langeveldt,0,0,,,,,,,
1,12.5,India,SR Tendulkar,KD Karthik,CK Langeveldt,2,0,,,,,,,
1,12.7,India,SR Tendulkar,KD Karthik,CK Langeveldt,0,0,,,,,,,
1,13.2,India,SR Tendulkar,KD Karthik,RE van der Merwe,1,0,,,,,,,
1,13.6,India,SR Tendulkar,KD Karthik,RE van der Merwe,1,0,,,,,,,
1,14.1,India,SR Tendulkar,KD Karthik,CK Langeveldt,2,0,,,,,,,
1,14.2,India,SR Tendulkar,KD Karthik,CK Langeveldt,0,0,,,,,,,
1,14.3,India,SR Tendulkar,KD Karthik,CK Langeveldt,4,0,,,,,,,
1,15.2,India,SR Tendulkar,KD Karthik,RE van der Merwe,4,0,,,,,,,
1,15.3,India,SR Tendulkar,KD Karthik,RE van der Merwe,1,0,,,,,,,
1,16.3,India,SR Tendulkar,KD Karthik,CK Langeveldt,1,0,,,,,,,
1,17.1,India,SR Tendulkar,KD Karthik,RE van der Merwe,2,0,,,,,,,
1,17.2,India,SR Tendulkar,KD Karthik,RE van der Merwe,1,0,,,,,,,
1,17.6,India,SR Tendulkar,KD Karthik,RE van der Merwe,1,0,,,,,,,
1,18.1,India,SR Tendulkar,KD Karthik,CK Langeveldt,0,0,,,,,,,
1,18.2,India,SR Tendulkar,KD Karthik,CK Langeveldt,1,0,,,,,,,
1,18.5,India,SR Tendulkar,KD Karthik,CK Langeveldt,1,0,,,,,,,
1,19.4,India,SR Tendulkar,KD Karthik,RE van der Merwe,1,0,,,,,,,
1,19.6,India,SR Tendulkar,KD Karthik,RE van der Merwe,4,0,,,,,,,
1,20.2,India,SR Tendulkar,KD Karthik,CK Langeveldt,1,0,,,,,,,
1,20.4,India,SR Tendulkar,KD Karthik,CK Langeveldt,1,0,,,,,,,
1,20.6,India,SR Tendulkar,KD Karthik,CK Langeveldt,1,0,,,,,,,
1,21.1,India,SR Tendulkar,KD Karthik,RE van der Merwe,0,0,,,,,,,
1,21.3,India,SR Tendulkar,KD Karthik,RE van der Merwe,0,0,,,,,,,
1,21.4,India,SR Tendulkar,KD Karthik,RE van der Merwe,4,0,,,,,,,
1,21.5,India,SR Tendulkar,KD Karthik,RE van der Merwe,1,0,,,,,,,
1,21.7,India,SR Tendulkar,KD Karthik,RE van der Merwe,0,0,,,,,,,
1,22.2,India,SR Tendulkar,KD Karthik,CK Langeveldt,0,0,,,,,,,
1,22.3,India,SR Tendulkar,KD Karthik,CK Langeveldt,1,0,,,,,,,
1,22.5,India,SR Tendulkar,KD Karthik,CK Langeveldt,0,0,,,,,,,
1,22.6,India,SR Tendulkar,KD Karthik,CK Langeveldt,0,0,,,,,,,
1,23.2,India,SR Tendulkar,KD Karthik,JP Duminy,1,0,,,,,,,
1,23.4,India,SR Tendulkar,KD Karthik,JP Duminy,2,0,,,,,,,
1,23.5,India,SR Tendulkar,KD Karthik,JP Duminy,0,0,,,,,,,
1,23.6,India,SR Tendulkar,KD Karthik,JP Duminy,0,0,,,,,,,
1,24.4,India,SR Tendulkar,KD Karthik,JH Kallis,1,0,,,,,,,
1,24.7,India,SR Tendulkar,KD Karthik,JH Kallis,1,0,,,,,,,
1,25.1,India,SR Tendulkar,KD Karthik,JP Duminy,0,0,,,,,,,
1,25.2,India,SR Tendulkar,KD Karthik,JP Duminy,0,0,,,,,,,
1,25.3,India,SR Tendulkar,KD Karthik,JP Duminy,1,0,,,,,,,
1,25.5,India,SR Tendulkar,KD Karthik,JP Duminy,0,0,,,,,,,
1,25.6,India,SR Tendulkar,KD Karthik,JP Duminy,1,0,,,,,,,
1,26.1,India,SR Tendulkar,KD Karthik,JH Kallis,1,0,,,,,,,
1,26.6,India,SR Tendulkar,KD Karthik,JH Kallis,1,0,,,,,,,
1,27.1,India,SR Tendulkar,KD Karthik,JP Duminy,0,0,,,,,,,
1,27.2,India,SR Tendulkar,KD Karthik,JP Duminy,1,0,,,,,,,
1,27.4,India,SR Tendulkar,KD Karthik,JP Duminy,1,0,,,,,,,
1,27.6,India,SR Tendulkar,KD Karthik,JP Duminy,1,0,,,,,,,
1,28.1,India,SR Tendulkar,KD Karthik,JH Kallis,4,0,,,,,,,
1,28.2,India,SR Tendulkar,KD Karthik,JH Kallis,0,0,,,,,,,
1,28.3,India,SR Tendulkar,KD Karthik,JH Kallis,4,0,,,,,,,
1,28.4,India,SR Tendulkar,KD Karthik,JH Kallis,1,0,,,,,,,
1,28.6,India,SR Tendulkar,KD Karthik,JH Kallis,0,0,,,,,,,
1,29.3,India,SR Tendulkar,KD Karthik,JP Duminy,1,0,,,,,,,
1,30.1,India,SR Tendulkar,KD Karthik,RE van der Merwe,0,0,,,,,,,
1,30.2,India,SR Tendulkar,KD Karthik,RE van der Merwe,0,0,,,,,,,
1,30.3,India,SR Tendulkar,KD Karthik,RE van der Merwe,1,0,,,,,,,
1,31.2,India,SR Tendulkar,KD Karthik,JP Duminy,6,0,,,,,,,
1,31.3,India,SR Tendulkar,KD Karthik,JP Duminy,1,0,,,,,,,
1,31.6,India,SR Tendulkar,KD Karthik,JP Duminy,4,0,,,,,,,
1,32.2,India,SR Tendulkar,KD Karthik,RE van der Merwe,1,0,,,,,,,
1,32.4,India,SR Tendulkar,KD Karthik,RE van der Merwe,1,0,,,,,,,
1,34.1,India,SR Tendulkar,YK Pathan,DW Steyn,0,0,,,,,,,
1,34.2,India,SR Tendulkar,YK Pathan,DW Steyn,4,0,,,,,,,
1,34.3,India,SR Tendulkar,YK Pathan,DW Steyn,0,0,,,,,,,
1,34.4,India,SR Tendulkar,YK Pathan,DW Steyn,0,0,,,,,,,
1,34.5,India,SR Tendulkar,YK Pathan,DW Steyn,4,0,,,,,,,
1,34.6,India,SR Tendulkar,YK Pathan,DW Steyn,1,0,,,,,,,
1,35.1,India,SR Tendulkar,YK Pathan,WD Parnell,1,0,,,,,,,
1,35.3,India,SR Tendulkar,YK Pathan,WD Parnell,1,0,,,,,,,
1,35.5,India,SR Tendulkar,YK Pathan,WD Parnell,4,0,,,,,,,
1,35.6,India,SR Tendulkar,YK Pathan,WD Parnell,0,0,,,,,,,
1,36.4,India,SR Tendulkar,YK Pathan,DW Steyn,4,0,,,,,,,
1,36.5,India,SR Tendulkar,YK Pathan,DW Steyn,0,0,,,,,,,
1,36.6,India,SR Tendulkar,YK Pathan,DW Steyn,4,0,,,,,,,
1,37.3,India,SR Tendulkar,YK Pathan,WD Parnell,4,0,,,,,,,
1,37.4,India,SR Tendulkar,YK Pathan,WD Parnell,1,0,,,,,,,
1,38.1,India,SR Tendulkar,YK Pathan,CK Langeveldt,4,0,,,,,,,
1,38.2,India,SR Tendulkar,YK Pathan,CK Langeveldt,0,0,,,,,,,
1,38.4,India,SR Tendulkar,YK Pathan,CK Langeveldt,1,0,,,,,,,
1,39.3,India,SR Tendulkar,YK Pathan,RE van der Merwe,0,0,,,,,,,
1,39.4,India,SR Tendulkar,YK Pathan,RE van der Merwe,2,0,,,,,,,
1,39.5,India,SR Tendulkar,YK Pathan,RE van der Merwe,1,0,,,,,,,
1,40.1,India,SR Tendulkar,YK Pathan,CK Langeveldt,1,0,,,,,,,
1,40.4,India,SR Tendulkar,YK Pathan,CK Langeveldt,1,0,,,,,,,
1,40.6,India,SR Tendulkar,YK Pathan,CK Langeveldt,6,0,,,,,,,
1,41.3,India,SR Tendulkar,MS Dhoni,RE van der Merwe,1,0,,,,,,,
1,41.5,India,SR Tendulkar,MS Dhoni,RE van der Merwe,4,0,,,,,,,
1,41.6,India,SR Tendulkar,MS Dhoni,RE van der Merwe,6,0,,,,,,,
1,42.2,India,SR Tendulkar,MS Dhoni,JH Kallis,1,0,,,,,,,
1,42.5,India,SR Tendulkar,MS Dhoni,JH Kallis,2,0,,,,,,,
1,42.6,India,SR Tendulkar,MS Dhoni,JH Kallis,4,0,,,,,,,
1,43.2,India,SR Tendulkar,MS Dhoni,WD Parnell,1,0,,,,,,,
1,44.2,India,SR Tendulkar,MS Dhoni,JH Kallis,2,0,,,,,,,
1,44.3,India,SR Tendulkar,MS Dhoni,JH Kallis,1,0,,,,,,,
1,44.5,India,SR Tendulkar,MS Dhoni,JH Kallis,1,0,,,,,,,
1,45.2,India,SR Tendulkar,MS Dhoni,WD Parnell,2,0,,,,,,,
1,45.3,India,SR Tendulkar,MS Dhoni,WD Parnell,2,0,,,,,,,
1,45.4,India,SR Tendulkar,MS Dhoni,WD Parnell,1,0,,,,,,,
1,46.1,India,SR Tendulkar,MS Dhoni,DW Steyn,1,0,,,,,,,
1,46.4,India,SR Tendulkar,MS Dhoni,DW Steyn,0,0,,,,,,,
1,46.5,India,SR Tendulkar,MS Dhoni,DW Steyn,1,0,,,,,,,
1,47.3,India,SR Tendulkar,MS Dhoni,CK Langeveldt,0,0,,,,,,,
1,47.4,India,SR Tendulkar,MS Dhoni,CK Langeveldt,1,0,,,,,,,
1,49.3,India,SR Tendulkar,MS Dhoni,CK Langeveldt,1,0,,,,,,,
