Ball,Ball_No,Striker,Non_striker,Bowler,Runs_by_batsman,Total_runs,Strike_rate,Extras,Wides,No_balls,Byes,Leg_byes
1,1.4,CK Coventry,H Masakadza,Mahbubul Alam,0,0,0,0,,,,
2,1.5,CK Coventry,H Masakadza,Mahbubul Alam,0,0,0,0,,,,
3,1.6,CK Coventry,H Masakadza,Mahbubul Alam,0,0,0,0,,,,
4,3.1,CK Coventry,H Masakadza,Mahbubul Alam,0,0,0,0,,,,
5,3.2,CK Coventry,H Masakadza,Mahbubul Alam,1,1,20,0,,,,
6,4.1,CK Coventry,H Masakadza,Syed Rasel,0,1,16.66666667,0,,,,
7,4.2,CK Coventry,H Masakadza,Syed Rasel,4,5,71.42857143,0,,,,
8,4.3,CK Coventry,H Masakadza,Syed Rasel,0,5,62.5,0,,,,
9,4.4,CK Coventry,H Masakadza,Syed Rasel,0,5,55.55555556,0,,,,
10,4.5,CK Coventry,H Masakadza,Syed Rasel,1,6,60,0,,,,
11,5.1,CK Coventry,H Masakadza,Mahbubul Alam,0,6,54.54545455,0,,,,
12,5.4,CK Coventry,H Masakadza,Mahbubul Alam,0,6,50,0,,,,
13,5.5,CK Coventry,H Masakadza,Mahbubul Alam,0,6,46.15384615,0,,,,
14,5.6,CK Coventry,H Masakadza,Mahbubul Alam,0,6,42.85714286,0,,,,
15,5.7,CK Coventry,H Masakadza,Mahbubul Alam,0,6,40,0,,,,
16,5.8,CK Coventry,H Masakadza,Mahbubul Alam,0,6,37.5,0,,,,
17,6.4,CK Coventry,H Masakadza,Syed Rasel,0,6,35.29411765,0,,,,
18,6.5,CK Coventry,H Masakadza,Syed Rasel,1,7,38.88888889,0,,,,
19,7.1,CK Coventry,H Masakadza,Mahbubul Alam,6,13,68.42105263,0,,,,
20,7.2,CK Coventry,H Masakadza,Mahbubul Alam,2,15,75,0,,,,
21,7.3,CK Coventry,H Masakadza,Mahbubul Alam,2,17,80.95238095,0,,,,
