Ball,Ball_No,Striker,Non_striker,Bowler,Runs_by_batsman,Total_runs,Strike_rate,Extras,Wides,No_balls,Byes,Leg_byes,Penalty,Type_of_wicket,Player_dismissed
1,3.1,LRPL Taylor,KS Williamson,MA Wood,0,0,0,0,,,,,,,
2,3.2,LRPL Taylor,KS Williamson,MA Wood,0,0,0,0,,,,,,,
3,3.3,LRPL Taylor,KS Williamson,MA Wood,0,0,0,0,,,,,,,
4,3.4,LRPL Taylor,KS Williamson,MA Wood,0,0,0,0,,,,,,,
5,3.5,LRPL Taylor,KS Williamson,MA Wood,0,0,0,0,,,,,,,
6,3.6,LRPL Taylor,KS Williamson,MA Wood,1,1,16.66666667,0,,,,,,,
7,4.1,LRPL Taylor,KS Williamson,CR Woakes,1,2,28.57142857,0,,,,,,,
8,5.4,LRPL Taylor,KS Williamson,MA Wood,0,2,25,0,,,,,,,
9,5.5,LRPL Taylor,KS Williamson,MA Wood,1,3,33.33333333,0,,,,,,,
10,6.1,LRPL Taylor,KS Williamson,CR Woakes,4,7,70,0,,,,,,,
11,6.2,LRPL Taylor,KS Williamson,CR Woakes,0,7,63.63636364,0,,,,,,,
12,6.3,LRPL Taylor,KS Williamson,CR Woakes,0,7,58.33333333,0,,,,,,,
13,6.4,LRPL Taylor,KS Williamson,CR Woakes,0,7,53.84615385,0,,,,,,,
14,6.5,LRPL Taylor,KS Williamson,CR Woakes,1,8,57.14285714,0,,,,,,,
15,7.1,LRPL Taylor,KS Williamson,MA Wood,1,9,60,0,,,,,,,
16,8.5,LRPL Taylor,KS Williamson,CR Woakes,0,9,56.25,1,,,,1,,,
17,9.1,LRPL Taylor,KS Williamson,MA Wood,0,9,52.94117647,0,,,,,,,
18,9.2,LRPL Taylor,KS Williamson,MA Wood,6,15,83.33333333,0,,,,,,,
19,9.3,LRPL Taylor,KS Williamson,MA Wood,4,19,100,0,,,,,,,
20,9.4,LRPL Taylor,KS Williamson,MA Wood,1,20,100,0,,,,,,,
21,10.2,LRPL Taylor,KS Williamson,AU Rashid,4,24,114.2857143,0,,,,,,,
22,10.3,LRPL Taylor,KS Williamson,AU Rashid,0,24,109.0909091,0,,,,,,,
23,10.4,LRPL Taylor,KS Williamson,AU Rashid,1,25,108.6956522,0,,,,,,,
24,10.6,LRPL Taylor,KS Williamson,AU Rashid,1,26,108.3333333,0,,,,,,,
25,11.1,LRPL Taylor,KS Williamson,TK Curran,4,30,120,0,,,,,,,
26,11.2,LRPL Taylor,KS Williamson,TK Curran,0,30,115.3846154,0,,,,,,,
27,11.3,LRPL Taylor,KS Williamson,TK Curran,0,30,111.1111111,0,,,,,,,
28,11.4,LRPL Taylor,KS Williamson,TK Curran,1,31,110.7142857,0,,,,,,,
29,12.3,LRPL Taylor,KS Williamson,AU Rashid,1,32,110.3448276,0,,,,,,,
30,12.6,LRPL Taylor,KS Williamson,AU Rashid,0,32,106.6666667,0,,,,,,,
31,13.2,LRPL Taylor,KS Williamson,TK Curran,1,33,106.4516129,0,,,,,,,
32,13.4,LRPL Taylor,KS Williamson,TK Curran,1,34,106.25,0,,,,,,,
33,14.2,LRPL Taylor,KS Williamson,AU Rashid,0,34,103.030303,0,,,,,,,
34,14.3,LRPL Taylor,KS Williamson,AU Rashid,1,35,102.9411765,0,,,,,,,
35,14.6,LRPL Taylor,KS Williamson,AU Rashid,4,39,111.4285714,0,,,,,,,
36,15.3,LRPL Taylor,KS Williamson,TK Curran,0,39,108.3333333,0,,,,,,,
37,15.4,LRPL Taylor,KS Williamson,TK Curran,1,40,108.1081081,0,,,,,,,
38,15.6,LRPL Taylor,KS Williamson,TK Curran,0,40,105.2631579,0,,,,,,,
39,16.3,LRPL Taylor,TWM Latham,BA Stokes,1,41,105.1282051,0,,,,,,,
40,16.6,LRPL Taylor,TWM Latham,BA Stokes,1,42,105,0,,,,,,,
41,17.1,LRPL Taylor,TWM Latham,TK Curran,0,42,102.4390244,0,,,,,,,
42,17.2,LRPL Taylor,TWM Latham,TK Curran,4,46,109.5238095,0,,,,,,,
43,17.3,LRPL Taylor,TWM Latham,TK Curran,1,47,109.3023256,0,,,,,,,
44,17.6,LRPL Taylor,TWM Latham,TK Curran,0,47,106.8181818,0,,,,,,,
45,18.4,LRPL Taylor,TWM Latham,BA Stokes,0,47,104.4444444,0,,,,,,,
46,18.5,LRPL Taylor,TWM Latham,BA Stokes,1,48,104.3478261,0,,,,,,,
47,19.3,LRPL Taylor,TWM Latham,MM Ali,1,49,104.2553191,0,,,,,,,
48,20.1,LRPL Taylor,TWM Latham,BA Stokes,1,50,104.1666667,0,,,,,,,
49,20.3,LRPL Taylor,TWM Latham,BA Stokes,1,51,104.0816327,0,,,,,,,
50,20.5,LRPL Taylor,TWM Latham,BA Stokes,1,52,104,0,,,,,,,
51,21.1,LRPL Taylor,TWM Latham,MM Ali,1,53,103.9215686,0,,,,,,,
52,21.6,LRPL Taylor,TWM Latham,MM Ali,1,54,103.8461538,0,,,,,,,
53,22.1,LRPL Taylor,TWM Latham,BA Stokes,0,54,101.8867925,0,,,,,,,
54,22.2,LRPL Taylor,TWM Latham,BA Stokes,1,55,101.8518519,0,,,,,,,
55,22.6,LRPL Taylor,TWM Latham,BA Stokes,1,56,101.8181818,0,,,,,,,
56,23.1,LRPL Taylor,TWM Latham,MM Ali,0,56,100,0,,,,,,,
57,23.2,LRPL Taylor,TWM Latham,MM Ali,0,56,98.24561404,0,,,,,,,
58,23.3,LRPL Taylor,TWM Latham,MM Ali,0,56,96.55172414,0,,,,,,,
59,23.4,LRPL Taylor,TWM Latham,MM Ali,0,56,94.91525424,0,,,,,,,
60,23.5,LRPL Taylor,TWM Latham,MM Ali,0,56,93.33333333,0,,,,,,,
61,23.6,LRPL Taylor,TWM Latham,MM Ali,1,57,93.44262295,0,,,,,,,
62,24.1,LRPL Taylor,TWM Latham,BA Stokes,0,57,91.93548387,0,,,,,,,
63,24.2,LRPL Taylor,TWM Latham,BA Stokes,1,58,92.06349206,0,,,,,,,
64,24.4,LRPL Taylor,TWM Latham,BA Stokes,1,59,92.1875,0,,,,,,,
65,25.2,LRPL Taylor,TWM Latham,MM Ali,1,60,92.30769231,0,,,,,,,
66,25.4,LRPL Taylor,TWM Latham,MM Ali,0,60,90.90909091,0,,,,,,,
67,25.5,LRPL Taylor,TWM Latham,MM Ali,0,60,89.55223881,0,,,,,,,
68,25.6,LRPL Taylor,TWM Latham,MM Ali,0,60,88.23529412,0,,,,,,,
69,26.2,LRPL Taylor,TWM Latham,AU Rashid,0,60,86.95652174,0,,,,,,,
70,26.3,LRPL Taylor,TWM Latham,AU Rashid,2,62,88.57142857,0,,,,,,,
71,26.4,LRPL Taylor,TWM Latham,AU Rashid,1,63,88.73239437,0,,,,,,,
72,27.2,LRPL Taylor,TWM Latham,MM Ali,0,63,87.5,0,,,,,,,
73,27.3,LRPL Taylor,TWM Latham,MM Ali,4,67,91.78082192,0,,,,,,,
74,27.4,LRPL Taylor,TWM Latham,MM Ali,6,73,98.64864865,0,,,,,,,
75,27.5,LRPL Taylor,TWM Latham,MM Ali,1,74,98.66666667,0,,,,,,,
76,28.3,LRPL Taylor,TWM Latham,AU Rashid,2,76,100,0,,,,,,,
77,28.4,LRPL Taylor,TWM Latham,AU Rashid,1,77,100,0,,,,,,,
78,29.3,LRPL Taylor,TWM Latham,MM Ali,1,78,100,0,,,,,,,
79,29.6,LRPL Taylor,TWM Latham,MM Ali,1,79,100,0,,,,,,,
80,30.1,LRPL Taylor,TWM Latham,AU Rashid,0,79,98.75,0,,,,,,,
81,30.2,LRPL Taylor,TWM Latham,AU Rashid,1,80,98.7654321,0,,,,,,,
82,30.4,LRPL Taylor,TWM Latham,AU Rashid,0,80,97.56097561,0,,,,,,,
83,30.5,LRPL Taylor,TWM Latham,AU Rashid,1,81,97.59036145,0,,,,,,,
84,31.1,LRPL Taylor,TWM Latham,MM Ali,0,81,96.42857143,0,,,,,,,
85,31.2,LRPL Taylor,TWM Latham,MM Ali,1,82,96.47058824,0,,,,,,,
86,31.5,LRPL Taylor,TWM Latham,MM Ali,1,83,96.51162791,0,,,,,,,
87,32.1,LRPL Taylor,TWM Latham,AU Rashid,0,83,95.40229885,0,,,,,,,
88,32.2,LRPL Taylor,TWM Latham,AU Rashid,1,84,95.45454545,0,,,,,,,
89,32.4,LRPL Taylor,TWM Latham,AU Rashid,0,84,94.38202247,0,,,,,,,
90,32.5,LRPL Taylor,TWM Latham,AU Rashid,4,88,97.77777778,0,,,,,,,
91,32.6,LRPL Taylor,TWM Latham,AU Rashid,1,89,97.8021978,0,,,,,,,
92,33.1,LRPL Taylor,TWM Latham,MM Ali,4,93,101.0869565,0,,,,,,,
93,33.2,LRPL Taylor,TWM Latham,MM Ali,0,93,100,0,,,,,,,
94,33.3,LRPL Taylor,TWM Latham,MM Ali,0,93,98.93617021,0,,,,,,,
95,33.4,LRPL Taylor,TWM Latham,MM Ali,1,94,98.94736842,0,,,,,,,
96,33.6,LRPL Taylor,TWM Latham,MM Ali,4,98,102.0833333,0,,,,,,,
97,34.2,LRPL Taylor,TWM Latham,AU Rashid,0,98,101.0309278,0,,,,,,,
98,34.3,LRPL Taylor,TWM Latham,AU Rashid,2,100,102.0408163,0,,,,,,,
99,34.4,LRPL Taylor,TWM Latham,AU Rashid,0,100,101.010101,0,,,,,,,
100,34.5,LRPL Taylor,TWM Latham,AU Rashid,0,100,100,0,,,,,,,
101,34.6,LRPL Taylor,TWM Latham,AU Rashid,0,100,99.00990099,0,,,,,,,
102,35.2,LRPL Taylor,TWM Latham,MA Wood,4,104,101.9607843,0,,,,,,,
103,35.3,LRPL Taylor,TWM Latham,MA Wood,1,105,101.9417476,0,,,,,,,
104,35.5,LRPL Taylor,TWM Latham,MA Wood,1,106,101.9230769,0,,,,,,,
105,36.1,LRPL Taylor,TWM Latham,BA Stokes,1,107,101.9047619,0,,,,,,,
106,36.4,LRPL Taylor,TWM Latham,BA Stokes,2,109,102.8301887,0,,,,,,,
107,36.5,LRPL Taylor,TWM Latham,BA Stokes,1,110,102.8037383,0,,,,,,,
108,37.1,LRPL Taylor,TWM Latham,MA Wood,1,111,102.7777778,0,,,,,,,
109,37.4,LRPL Taylor,TWM Latham,MA Wood,1,112,102.7522936,0,,,,,,,
110,38.1,LRPL Taylor,TWM Latham,BA Stokes,1,113,102.7272727,0,,,,,,,
111,38.3,LRPL Taylor,TWM Latham,BA Stokes,0,113,101.8018018,0,,,,,,,
112,38.4,LRPL Taylor,TWM Latham,BA Stokes,6,119,106.25,0,,,,,,,
113,38.6,LRPL Taylor,TWM Latham,BA Stokes,4,123,108.8495575,0,,,,,,,
114,38.7,LRPL Taylor,TWM Latham,BA Stokes,1,124,108.7719298,0,,,,,,,
115,39.1,LRPL Taylor,TWM Latham,MA Wood,0,124,107.826087,0,,,,,,,
116,39.2,LRPL Taylor,TWM Latham,MA Wood,4,128,110.3448276,0,,,,,,,
117,39.4,LRPL Taylor,TWM Latham,MA Wood,4,132,112.8205128,0,,,,,,,
118,39.5,LRPL Taylor,TWM Latham,MA Wood,4,136,115.2542373,0,,,,,,,
119,39.6,LRPL Taylor,TWM Latham,MA Wood,1,137,115.1260504,0,,,,,,,
120,40.2,LRPL Taylor,TWM Latham,AU Rashid,1,138,115,0,,,,,,,
121,40.4,LRPL Taylor,TWM Latham,AU Rashid,6,144,119.0082645,0,,,,,,,
122,40.5,LRPL Taylor,TWM Latham,AU Rashid,1,145,118.852459,0,,,,,,,
123,41.1,LRPL Taylor,TWM Latham,TK Curran,0,145,117.8861789,0,,,,,,,
124,41.2,LRPL Taylor,TWM Latham,TK Curran,1,146,117.7419355,0,,,,,,,
125,41.4,LRPL Taylor,TWM Latham,TK Curran,4,150,120,0,,,,,,,
126,41.5,LRPL Taylor,TWM Latham,TK Curran,1,151,119.8412698,0,,,,,,,
127,42.1,LRPL Taylor,C de Grandhomme,AU Rashid,0,151,118.8976378,0,,,,,,,
128,42.2,LRPL Taylor,C de Grandhomme,AU Rashid,1,152,118.75,0,,,,,,,
129,42.6,LRPL Taylor,C de Grandhomme,AU Rashid,2,154,119.379845,0,,,,,,,
130,43.5,LRPL Taylor,C de Grandhomme,TK Curran,1,155,119.2307692,0,,,,,,,
131,44.1,LRPL Taylor,C de Grandhomme,CR Woakes,0,155,118.3206107,0,,,,,,,
132,44.2,LRPL Taylor,C de Grandhomme,CR Woakes,1,156,118.1818182,0,,,,,,,
133,44.4,LRPL Taylor,C de Grandhomme,CR Woakes,0,156,117.2932331,0,,,,,,,
134,44.5,LRPL Taylor,C de Grandhomme,CR Woakes,1,157,117.1641791,0,,,,,,,
135,45.1,LRPL Taylor,C de Grandhomme,TK Curran,0,157,116.2962963,0,,,,,,,
136,45.2,LRPL Taylor,C de Grandhomme,TK Curran,1,158,116.1764706,0,,,,,,,
137,45.6,LRPL Taylor,HM Nicholls,TK Curran,0,158,115.3284672,0,,,,,,,
138,46.2,LRPL Taylor,HM Nicholls,CR Woakes,1,159,115.2173913,0,,,,,,,
139,46.4,LRPL Taylor,HM Nicholls,CR Woakes,6,165,118.705036,0,,,,,,,
140,46.5,LRPL Taylor,HM Nicholls,CR Woakes,2,167,119.2857143,0,,,,,,,
141,46.6,LRPL Taylor,HM Nicholls,CR Woakes,4,171,121.2765957,0,,,,,,,
142,47.2,LRPL Taylor,HM Nicholls,TK Curran,1,172,121.1267606,0,,,,,,,
143,47.5,LRPL Taylor,HM Nicholls,TK Curran,1,173,120.979021,0,,,,,,,
144,48.1,LRPL Taylor,HM Nicholls,CR Woakes,6,179,124.3055556,0,,,,,,,
145,48.2,LRPL Taylor,HM Nicholls,CR Woakes,1,180,124.137931,0,,,,,,,
146,48.4,LRPL Taylor,HM Nicholls,CR Woakes,0,180,123.2876712,0,,,,,,,
147,48.5,LRPL Taylor,HM Nicholls,CR Woakes,1,181,123.1292517,0,,,,,,,
