Ball_no,Ball,Team,Striker,Non_striker,Bowler,Runs_by_batsman,Extrax,Wides,No_balls,Byes,Leg_byes,Kind_of_wicket,Dismissed_player
1,0.1,"New Zealand","MJ Guptill","C Munro","CR Woakes",0,0,,,,,,
2,0.2,"New Zealand","MJ Guptill","C Munro","CR Woakes",0,0,,,,,,
3,0.3,"New Zealand","MJ Guptill","C Munro","CR Woakes",0,0,,,,,,
4,0.4,"New Zealand","MJ Guptill","C Munro","CR Woakes",0,0,,,,,,
5,0.5,"New Zealand","MJ Guptill","C Munro","CR Woakes",0,0,,,,,,
6,0.6,"New Zealand","MJ Guptill","C Munro","CR Woakes",0,0,,,,,,
7,1.1,"New Zealand","C Munro","MJ Guptill","MA Wood",0,0,,,,,lbw,"C Munro"
8,1.2,"New Zealand","KS Williamson","MJ Guptill","MA Wood",2,0,,,,,,
9,1.3,"New Zealand","KS Williamson","MJ Guptill","MA Wood",0,0,,,,,,
10,1.4,"New Zealand","KS Williamson","MJ Guptill","MA Wood",0,0,,,,,,
11,1.5,"New Zealand","KS Williamson","MJ Guptill","MA Wood",0,0,,,,,,
12,1.6,"New Zealand","KS Williamson","MJ Guptill","MA Wood",0,0,,,,,,
13,2.1,"New Zealand","MJ Guptill","KS Williamson","CR Woakes",0,0,,,,,,
14,2.2,"New Zealand","MJ Guptill","KS Williamson","CR Woakes",0,0,,,,,,
15,2.3,"New Zealand","MJ Guptill","KS Williamson","CR Woakes",0,0,,,,,,
16,2.4,"New Zealand","MJ Guptill","KS Williamson","CR Woakes",0,0,,,,,caught,"MJ Guptill"
17,2.5,"New Zealand","KS Williamson","LRPL Taylor","CR Woakes",0,0,,,,,,
18,2.6,"New Zealand","KS Williamson","LRPL Taylor","CR Woakes",0,0,,,,,,
26,4.2,"New Zealand","KS Williamson","LRPL Taylor","CR Woakes",0,0,,,,,,
27,4.3,"New Zealand","KS Williamson","LRPL Taylor","CR Woakes",0,0,,,,,,
28,4.4,"New Zealand","KS Williamson","LRPL Taylor","CR Woakes",0,0,,,,,,
